化学物质残留,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.Jul,18.Dec,18.Oct,18.Aug,18.Jul,17.Apr,17.Jan,16.Nov,16.May,16.Jan,15.Oct,15.Aug,15.Jul,15.Jan,13.Jun,13.May,12.Nov,11.Aug,6.Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1,2,1,1,3,1,1,1,19,1,4,0,1,0,17,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有毒有害食品,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.Nov,19.Oct,19.Sep,19.Aug,19.Jun,19.May,19.Apr,19.Mar,19.Feb,19.Jan,18.Dec,18.Nov,18.Oct,18.Sep,18.Aug,18.Jul,18.Jun,18.May,18.Mar,18.Feb,18.Jan,17.Dec,17.Nov,17.Oct,17.Sep,17.Aug,17.Jul,17.Jun,17.May,17.Apr,17.Mar,17.Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,1,8,8,13,16,29,45,2,3,17,16,6,11,17,28,21,18,23,6,7,6,1,41,21,24,28,9,2,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.Dec,16.Nov,16.Oct,16.Sep,16.Aug,16.Jul,16.Jun,16.Apr,16.Mar,16.Feb,16.Jan,15.Nov,15.Oct,15.Sep,15.Aug,15.Jul,15.Jun,15.May,15.Apr,15.Mar,15.Feb,15.Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,61,2,1,7,17,18,61,44,6,5,2,9,31,52,44,23,7,56,37,55,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.Dec,14.Nov,14.Oct,14.Sep,14.Aug,14.Jul,14.Jun,14.May,14.Apr,14.Mar,14.Feb,14.Jan,13.Dec,13.Nov,13.Oct,13.Sep,13.Aug,13.Jul,13.Jun,13.May,13.Apr,13.Mar,13.Feb,13.Jan,12.Dec,12.Nov,12.Oct,12.Sep,12.Aug,12.Jul,12.Jun,12.May,12.Apr,12.Mar,12.Feb,12.Jan,11.Dec,11.Nov,11.Oct,11.Sep,11.Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,55,69,38,51,42,24,36,17,115,63,95,53,64,95,81,50,85,229,127,69,211,102,81,26,16,6,20,35,18,15,45,8,150,43,43,99,73,91,26,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
