Dec.19,Nov.19,Oct.19,Sep.19,Aug.19,Jul.19,Jun.19,Apr.19,Mar.19,Feb.19,Jan.19,Dec.18,Nov.18,Oct.18,Sep.18,,,,,
1,42,28,56,102,65,33,2,20,28,11,42,25,218,75,,,,,
,Aug.18,Jul.18,Jun.18,May.18,Apr.18,Mar.18,Feb.18,Jan.18,Dec.17,Nov.17,Oct.17,Sep.17,Aug.17,Jul.17,Jun.17,May.17,Apr.17,Mar.17,Feb.17
,42,19,11,103,36,83,42,201,125,54,96,45,175,170,317,80,201,320,1136
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Jan.17,Dec.16,Nov.16,Oct.16,Sep.16,Aug.16,Jul.16,Jun.16,May.16,Apr.16,Mar.16,Feb.16,Jan.16,Dec.15,,,,,,
336,814,401,34,4,43,91,234,30,56,18,204,530,159,,,,,,
Dec.15,Nov.15,Oct.15,Sep.15,Aug.15,Jul.15,Jun.15,May.15,Apr.15,Mar.15,Feb.15,Jan.15,,,,,,,,
37,154,26,83,164,308,200,276,532,201,546,775,,,,,,,,
Jan.15,Dec.14,Nov.14,Oct.14,Sep.14,Aug.14,Jul.14,Jun.14,May.14,Apr.14,Mar.14,Feb.14,Jan.14,,,,,,,
1867,1110,1208,111,170,140,182,81,200,456,1203,5815,7292,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
